geometry|lat|lon|name|rating|type|zona_estudio|category|sub_cat
POINT (-78.4573401 -0.1099149)|-0.1099149|-78.4573401|Mayflower|4.0|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4652594 -0.1198871)|-0.1198871|-78.4652594|Los Encebollados de Panchito|4.5|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4575256 -0.1084616)|-0.1084616|-78.4575256|Ch Farina|4.2|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.46539229999999 -0.1229637)|-0.1229637|-78.46539229999999|La casucha del manaba|4.5|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4533703 -0.1075254)|-0.1075254|-78.4533703|Pizza Hut Carapungo|4.2|meal_delivery|LA BOTA|local_economy|food and drinks
POINT (-78.452833 -0.1078888)|-0.1078888|-78.452833|Los Ceviches de la Rumiñahui|4.1|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4535535 -0.1061874)|-0.1061874|-78.4535535|La Ramada Manabita|4.6|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.467528 -0.1241037)|-0.1241037|-78.467528|Cai Lin|4.3|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.453364 -0.104081)|-0.104081|-78.453364|KFC|4.0|meal_takeaway|LA BOTA|local_economy|food and drinks
POINT (-78.4598559 -0.1156608)|-0.1156608|-78.4598559|POLLO HORNEADO MY CHICKEN|4.0|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4595312 -0.1160554)|-0.1160554|-78.4595312|King Pollo||restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4600634 -0.1157796)|-0.1157796|-78.4600634|Cevicheria Sazon Manabita|4.4|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4604425 -0.1153647)|-0.1153647|-78.4604425|Horno de matilde|4.5|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4582332 -0.115923)|-0.115923|-78.4582332|Panificadora + Que Pan|4.5|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4568805 -0.1170998)|-0.1170998|-78.4568805|Pescaderia La Bota|4.3|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4554417 -0.1182694)|-0.1182694|-78.4554417|Ké Pinchos|3.0|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4634084 -0.1190248)|-0.1190248|-78.4634084|Restaurante Comida Típica||restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4626435 -0.1198658)|-0.1198658|-78.4626435|Encebollados Tiburón|5.0|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4638511 -0.1189364)|-0.1189364|-78.4638511|Las Papicanastas Urbanas||restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.463628 -0.1118362)|-0.1118362|-78.463628|Tilapias Chavelita|4.8|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4529081 -0.108106)|-0.108106|-78.4529081|Banco Guayaquil|3.0|atm|LA BOTA|local_economy|finance
POINT (-78.4700716 -0.1006213)|-0.1006213|-78.4700716|Muñoz Carvajal||atm|LA BOTA|local_economy|finance
POINT (-78.44662699999999 -0.0999699)|-0.0999698999999999|-78.44662699999999|Cajero|5.0|atm|LA BOTA|local_economy|finance
POINT (-78.4573183 -0.1101471)|-0.1101471|-78.4573183|ATM Banco Internacional|4.0|atm|LA BOTA|local_economy|finance
POINT (-78.4573203 -0.1101093)|-0.1101093|-78.4573203|ATM Banco Del Pacífico||atm|LA BOTA|local_economy|finance
POINT (-78.45782659999999 -0.1085888)|-0.1085888|-78.45782659999999|Banco del Austro|1.0|atm|LA BOTA|local_economy|finance
POINT (-78.4576902 -0.1085409)|-0.1085409|-78.4576902|Banco Solidario|2.0|bank|LA BOTA|local_economy|finance
POINT (-78.4580953 -0.1081524)|-0.1081524|-78.4580953|Banco Bolivariano Cajero Automático||atm|LA BOTA|local_economy|finance
POINT (-78.45775139999999 -0.1074658)|-0.1074658|-78.45775139999999|Banco Bolivariano||bank|LA BOTA|local_economy|finance
POINT (-78.452966 -0.1080875)|-0.1080875|-78.452966|Banco Guayaquil • Carapungo- Portal|2.8|bank|LA BOTA|local_economy|finance
POINT (-78.45194099999999 -0.1079257)|-0.1079257|-78.45194099999999|Cajero Banco Pacifico Petrocomercial|2.5|atm|LA BOTA|local_economy|finance
POINT (-78.4670337 -0.1236326)|-0.1236326|-78.4670337|ATM Banco Bolivariano||atm|LA BOTA|local_economy|finance
POINT (-78.4674654 -0.1244262)|-0.1244262|-78.4674654|Banco Guayaquil|5.0|atm|LA BOTA|local_economy|finance
POINT (-78.4696689 -0.1284046)|-0.1284046|-78.4696689|Banco de Guayaquil||atm|LA BOTA|local_economy|finance
POINT (-78.4708796 -0.1287168)|-0.1287168|-78.4708796|Cooperativa Policía Nacional||bank|LA BOTA|local_economy|finance
POINT (-78.4439585 -0.1066701)|-0.1066701|-78.4439585|Banco Bolivariano|1.0|bank|LA BOTA|local_economy|finance
POINT (-78.4719135 -0.1289182)|-0.1289182|-78.4719135|ATM Banco Pichincha|3.6|atm|LA BOTA|local_economy|finance
POINT (-78.47020909999999 -0.1005329)|-0.1005329|-78.47020909999999|Coop. de ahorro y crédito Tulcán Ltda.||atm|LA BOTA|local_economy|finance
POINT (-78.4723387 -0.1289696)|-0.1289696|-78.4723387|Banco de Guayaquil|5.0|atm|LA BOTA|local_economy|finance
POINT (-78.4723575 -0.1290708)|-0.1290708|-78.4723575|Banco Pichincha|1.0|atm|LA BOTA|local_economy|finance
POINT (-78.4528826 -0.1080875)|-0.1080875|-78.4528826|Banco Pichincha|3.0|bank|LA BOTA|local_economy|finance
POINT (-78.4535142 -0.1037983)|-0.1037983|-78.4535142|Servipagos AKI Carapungo|4.4|bank|LA BOTA|local_economy|finance
POINT (-78.44603099999999 -0.1259531)|-0.1259531|-78.44603099999999|Coop. Progreso Agencia San Jose de Minas||bank|LA BOTA|local_economy|finance
POINT (-78.4790318 -0.1140722)|-0.1140722|-78.4790318|Banco Pichincha|3.9|bank|LA BOTA|local_economy|finance
POINT (-78.4789442 -0.113898)|-0.113898|-78.4789442|TATA Consultancy Services - Gestión de Servicios|4.0|bank|LA BOTA|local_economy|finance
POINT (-78.4709702 -0.1047064)|-0.1047064|-78.4709702|Sociedad Financiera ECuatoriana|1.0|bank|LA BOTA|local_economy|finance
POINT (-78.4553013 -0.1166756)|-0.1166756|-78.4553013|PuntoBB Banco Bolivariano||bank|LA BOTA|local_economy|finance
POINT (-78.4578907 -0.1086076)|-0.1086076|-78.4578907|Banco del Pacífico|2.9|bank|LA BOTA|local_economy|finance
POINT (-78.4576955 -0.108564)|-0.108564|-78.4576955|Produbanco|3.6|bank|LA BOTA|local_economy|finance
POINT (-78.4576902 -0.1085409)|-0.1085409|-78.4576902|Banco Solidario|2.0|bank|LA BOTA|local_economy|finance
POINT (-78.4576838 -0.1085375)|-0.1085375|-78.4576838|Banco Guayaquil|2.4|bank|LA BOTA|local_economy|finance
POINT (-78.45862989999999 -0.1077086)|-0.1077086|-78.45862989999999|Servipagos|3.7|bank|LA BOTA|local_economy|finance
POINT (-78.45775139999999 -0.1074658)|-0.1074658|-78.45775139999999|Banco Bolivariano||bank|LA BOTA|local_economy|finance
POINT (-78.4586405 -0.1072598)|-0.1072598|-78.4586405|PuntoBB Banco Bolivariano||bank|LA BOTA|local_economy|finance
POINT (-78.455429 -0.107994)|-0.107994|-78.455429|PuntoBB Banco Bolivariano||bank|LA BOTA|local_economy|finance
POINT (-78.4679115 -0.1195449)|-0.1195449|-78.4679115|PuntoBB Banco Bolivariano||bank|LA BOTA|local_economy|finance
POINT (-78.4690285 -0.1128812)|-0.1128812|-78.4690285|italpaint||bank|LA BOTA|local_economy|finance
POINT (-78.452966 -0.1080875)|-0.1080875|-78.452966|Banco Guayaquil • Carapungo- Portal|2.8|bank|LA BOTA|local_economy|finance
POINT (-78.4530383 -0.107904)|-0.107904|-78.4530383|PuntoBB Banco Bolivariano||bank|LA BOTA|local_economy|finance
POINT (-78.4670447 -0.1230463)|-0.1230463|-78.4670447|Banco Pichincha|3.4|bank|LA BOTA|local_economy|finance
POINT (-78.4581388 -0.1159829)|-0.1159829|-78.4581388|Mona Bar||bar|LA BOTA|local_economy|entertainment
POINT (-78.4630865 -0.1217488)|-0.1217488|-78.4630865|Y@ff Q' chuch@$ liquor store|4.1|bar|LA BOTA|local_economy|entertainment
POINT (-78.4665924 -0.1175922)|-0.1175922|-78.4665924|Cheladas del Comi||bar|LA BOTA|local_economy|entertainment
POINT (-78.4656201 -0.1109412)|-0.1109412|-78.4656201|LICORERIA DISTRIBUIDORA|4.5|bar|LA BOTA|local_economy|entertainment
POINT (-78.4686026 -0.1156279)|-0.1156279|-78.4686026|yo||bar|LA BOTA|local_economy|entertainment
POINT (-78.450437 -0.114563)|-0.114563|-78.450437|"Licorería 24 Horas ""punto Fijo"|5.0|bar|LA BOTA|local_economy|entertainment
POINT (-78.4525555 -0.1082621)|-0.1082621|-78.4525555|B.A.R F.R.E.D.D.Y|5.0|bar|LA BOTA|local_economy|entertainment
POINT (-78.46697759999999 -0.1234913)|-0.1234913|-78.46697759999999|Batidos Jorgito||bar|LA BOTA|local_economy|entertainment
POINT (-78.4700924 -0.1186364)|-0.1186364|-78.4700924|Bar Trolo|4.8|bar|LA BOTA|local_economy|entertainment
POINT (-78.46958699999999 -0.120063)|-0.120063|-78.46958699999999|DUBAI BAR RESTAURANT||bar|LA BOTA|local_economy|entertainment
POINT (-78.4705809 -0.1161409)|-0.1161409|-78.4705809|Clandestino Producer||night_club|LA BOTA|local_economy|entertainment
POINT (-78.4666179 -0.1252376)|-0.1252376|-78.4666179|"Distribuidora de cerveza y licorería La ""SEÑITO"" 1"|4.7|bar|LA BOTA|local_economy|entertainment
POINT (-78.46672029999999 -0.1253092)|-0.1253092|-78.46672029999999|Licoreria LA JABA|4.8|bar|LA BOTA|local_economy|entertainment
POINT (-78.4713678 -0.1185596)|-0.1185596|-78.4713678|BILLARES-RESTAURANTE-BAR|3.6|bar|LA BOTA|local_economy|entertainment
POINT (-78.447537 -0.1126334)|-0.1126334|-78.447537|Canchas deportivas El Alex|4.8|bar|LA BOTA|local_economy|entertainment
POINT (-78.4748343 -0.1283498)|-0.1283498|-78.4748343|Capex|4.5|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4596921 -0.1160122)|-0.1160122|-78.4596921|Panaderia Multipan|4.1|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4582332 -0.115923)|-0.115923|-78.4582332|Panificadora + Que Pan|4.5|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.46148079999999 -0.114081)|-0.114081|-78.46148079999999|Pan D' familia|5.0|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4624322 -0.1194618)|-0.1194618|-78.4624322|Panadería Gaby||bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4644974 -0.1181737)|-0.1181737|-78.4644974|"Panaderia,Pasteleria y Minimarket ""AL DIA"""|5.0|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4643524 -0.1199132)|-0.1199132|-78.4643524|Panaderia Las Gemelas|4.8|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4650221 -0.1193774)|-0.1193774|-78.4650221|Panadería y pastelería Cruz|4.9|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4650934 -0.1208159)|-0.1208159|-78.4650934|Alicebake.ec|4.0|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4653931 -0.1206857)|-0.1206857|-78.4653931|Panadería y Pastelería Espigas|4.0|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4656445 -0.1205449)|-0.1205449|-78.4656445|"Panadería y Pastelería ""PARIS"""|5.0|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4656772 -0.1212333)|-0.1212333|-78.4656772|Pan de Casa|4.7|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.45544459999999 -0.1082963)|-0.1082963|-78.45544459999999|Ecopan Lojano||bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4550847 -0.1081694)|-0.1081694|-78.4550847|El Rincón Lojano|5.0|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.465411 -0.1229977)|-0.1229977|-78.465411|Juan venales||bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4683422 -0.1194021)|-0.1194021|-78.4683422|Panadería Diaz|4.3|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.466432 -0.122524)|-0.122524|-78.466432|PASTELERÍA ESCOCESA|4.1|bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4667741 -0.1226897)|-0.1226897|-78.4667741|Panadería Don Santyago||bakery|LA BOTA|local_economy|food and drinks
POINT (-78.4677703 -0.121883)|-0.121883|-78.4677703|Panes & Pasteles||bakery|LA BOTA|local_economy|food and drinks
POINT (-78.462088 -0.1146817)|-0.1146817|-78.462088|Estetica Nathalie Sarzosa|4.8|beauty_salon|LA BOTA|local_economy|services
POINT (-78.4568024 -0.1158885)|-0.1158885|-78.4568024|la bota||beauty_salon|LA BOTA|local_economy|services
POINT (-78.4551372 -0.1098196)|-0.1098196|-78.4551372|GEMINIS PELUQUERIAS|4.3|beauty_salon|LA BOTA|local_economy|services
POINT (-78.4518429 -0.1143768)|-0.1143768|-78.4518429|By Mafer Nails|5.0|beauty_salon|LA BOTA|local_economy|services
POINT (-78.45039849999999 -0.1142902)|-0.1142902|-78.45039849999999|Sunflower Eyelashes Spa||beauty_salon|LA BOTA|local_economy|services
POINT (-78.4502673 -0.1132387)|-0.1132387|-78.4502673|Lucy S||beauty_salon|LA BOTA|local_economy|services
POINT (-78.4666843 -0.1229179)|-0.1229179|-78.4666843|Sala De Belleza Y Peluqueria|3.0|beauty_salon|LA BOTA|local_economy|services
POINT (-78.4495791 -0.1135368)|-0.1135368|-78.4495791|Beauty Style||beauty_salon|LA BOTA|local_economy|services
POINT (-78.46593159999999 -0.1238586)|-0.1238586|-78.46593159999999|Renacer Centro de Rehabilitación Física y Spa||spa|LA BOTA|local_economy|services
POINT (-78.46863119999999 -0.120901)|-0.120901|-78.46863119999999|Yeli's all stetic||beauty_salon|LA BOTA|local_economy|services
POINT (-78.4656822 -0.1241949)|-0.1241949|-78.4656822|Coco Nails House|4.5|beauty_salon|LA BOTA|local_economy|services
POINT (-78.4671986 -0.1243717)|-0.1243717|-78.4671986|Sala De Belleza Any's||beauty_salon|LA BOTA|local_economy|services
POINT (-78.4540062 -0.1054205)|-0.1054205|-78.4540062|Happy Nails|4.5|beauty_salon|LA BOTA|local_economy|services
POINT (-78.45896929999999 -0.1037314)|-0.1037314|-78.45896929999999|Art Nails By Yeri||beauty_salon|LA BOTA|local_economy|services
POINT (-78.4705175 -0.1220047)|-0.1220047|-78.4705175|Estética Integral Paty Nole||beauty_salon|LA BOTA|local_economy|services
POINT (-78.453116 -0.1043557)|-0.1043557|-78.453116|Marmen Peluquería||beauty_salon|LA BOTA|local_economy|services
POINT (-78.4684224 -0.1261604)|-0.1261604|-78.4684224|Estilo Y Glamour|5.0|beauty_salon|LA BOTA|local_economy|services
POINT (-78.46656519999999 -0.1240078)|-0.1240078|-78.46656519999999|Bicimania|5.0|bicycle_store|LA BOTA|local_economy|stores
POINT (-78.45539269999999 -0.105478)|-0.105478|-78.45539269999999|Ziklo Riders|4.9|bicycle_store|LA BOTA|local_economy|stores
POINT (-78.4723764 -0.1174866)|-0.1174866|-78.4723764|MonkyBalance, Bicicletas sin pedales, Bicicletas de Balance para niños|5.0|bicycle_store|LA BOTA|local_economy|stores
POINT (-78.4694418 -0.125646)|-0.125646|-78.4694418|Ciclo Tour||bicycle_store|LA BOTA|local_economy|stores
POINT (-78.45098109999999 -0.102772)|-0.102772|-78.45098109999999|BIKES UIO CARAPUNGO|5.0|bicycle_store|LA BOTA|local_economy|stores
POINT (-78.4443039 -0.1095711)|-0.1095711|-78.4443039|Centro Ciclismo Dos Ruedas|4.9|bicycle_store|LA BOTA|local_economy|stores
POINT (-78.4621236 -0.1338367)|-0.1338367|-78.4621236|Top Tech Bike|5.0|bicycle_store|LA BOTA|local_economy|stores
POINT (-78.447999 -0.101086)|-0.101086|-78.447999|Bicicletas Al Dia|4.3|bicycle_store|LA BOTA|local_economy|stores
POINT (-78.4794074 -0.1213621)|-0.1213621|-78.4794074|Bianchi, Grupo Roldan, Quito|5.0|bicycle_store|LA BOTA|local_economy|stores
POINT (-78.44972299999999 -0.0965293)|-0.0965292999999999|-78.44972299999999|Crazy Soul Collections||bicycle_store|LA BOTA|local_economy|stores
POINT (-78.4560413 -0.1116855)|-0.1116855|-78.4560413|ABC LIBROS y Más||book_store|LA BOTA|local_economy|stores
POINT (-78.4761934 -0.1119047)|-0.1119047|-78.4761934|OCP|4.5|book_store|LA BOTA|local_economy|stores
POINT (-78.4678685 -0.132616)|-0.132616|-78.4678685|Resmas de papel y Copiadora. KAERD|5.0|book_store|LA BOTA|local_economy|stores
POINT (-78.4532621 -0.0965428)|-0.0965427999999999|-78.4532621|Sari Popular|4.9|book_store|LA BOTA|local_economy|stores
POINT (-78.46460259999999 -0.1306766)|-0.1306766|-78.46460259999999|De Las Aromas Y Gaspar Tello||bus_station|LA BOTA|built_environment|transportation
POINT (-78.47166 -0.099783)|-0.099783|-78.47166|Galo Plaza Lasso Y Vicente Duque||bus_station|LA BOTA|built_environment|transportation
POINT (-78.45815499999999 -0.1169678)|-0.1169678|-78.45815499999999|Cookies and Cream||cafe|LA BOTA|local_economy|food and drinks
POINT (-78.4575041 -0.1111879)|-0.1111879|-78.4575041|Humitas y Quimbolitos|5.0|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.4650858 -0.1189182)|-0.1189182|-78.4650858|Los Sánduches.com|2.8|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.4581199 -0.1086628)|-0.1086628|-78.4581199|El Español|3.8|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.458145 -0.1082461)|-0.1082461|-78.458145|Yogurt Amazonas|4.3|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.4662062 -0.1119819)|-0.1119819|-78.4662062|Victoria Cafeteria Mirador||cafe|LA BOTA|local_economy|food and drinks
POINT (-78.45840419999999 -0.1081102)|-0.1081102|-78.45840419999999|Juan Valdez Café|4.4|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.4586015 -0.1073507)|-0.1073507|-78.4586015|Sweet & Coffee - Portal Shopping|4.4|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.45062879999999 -0.1147775)|-0.1147775|-78.45062879999999|Mundo del Bienestar Fernanda||cafe|LA BOTA|local_economy|food and drinks
POINT (-78.44849959999999 -0.112868)|-0.112868|-78.44849959999999|Las empanadas de maya|5.0|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.46209449999999 -0.1273331)|-0.1273331|-78.46209449999999|Delicias Express|4.2|restaurant|LA BOTA|local_economy|food and drinks
POINT (-78.4669854 -0.1252849)|-0.1252849|-78.4669854|Protein Club Nutricion|3.0|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.4674685 -0.1250298)|-0.1250298|-78.4674685|VENECUADOR|5.0|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.4533132 -0.104742)|-0.104742|-78.4533132|LO TRADICIONAL||cafe|LA BOTA|local_economy|food and drinks
POINT (-78.459848 -0.1285372)|-0.1285372|-78.459848|FUZU|5.0|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.4683026 -0.1258913)|-0.1258913|-78.4683026|Cafe Lojanito De Karina I|4.4|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.445989 -0.1165729)|-0.1165729|-78.445989|Antonella Cafeteria y Restaurante||cafe|LA BOTA|local_economy|food and drinks
POINT (-78.47279 -0.1212867)|-0.1212867|-78.47279|Roll Up Juncos|5.0|cafe|LA BOTA|local_economy|food and drinks
POINT (-78.45719869999999 -0.1037649)|-0.1037649|-78.45719869999999|Vibrant importadora camping|4.6|campground|LA BOTA|natural_environment|entertainment
POINT (-78.4480104 -0.1120046)|-0.1120046|-78.4480104|N5C pichincha OE11-143||campground|LA BOTA|natural_environment|entertainment
POINT (-78.4734818 -0.118776)|-0.118776|-78.4734818|Check & Clean Ingeníeria Automotriz|4.7|car_repair|LA BOTA|local_economy|services
POINT (-78.44640030000001 -0.106166)|-0.106166|-78.44640030000001|Lubrisa Quito|4.4|car_repair|LA BOTA|local_economy|services
POINT (-78.4549005 -0.0990522)|-0.0990521999999999|-78.4549005|Q-Motors Patio De Autos|3.9|car_repair|LA BOTA|local_economy|services
POINT (-78.4725137 -0.1282029)|-0.1282029|-78.4725137|Servimet|4.5|car_repair|LA BOTA|local_economy|services
POINT (-78.4711679 -0.1312989)|-0.1312989|-78.4711679|ERCOTIRES managed by MOYABACA|4.3|car_repair|LA BOTA|local_economy|services
POINT (-78.4562061 -0.1350321)|-0.1350321|-78.4562061|MONTACARGAS Y MONTACARGAS|5.0|car_repair|LA BOTA|local_economy|services
POINT (-78.47134299999999 -0.1320782)|-0.1320782|-78.47134299999999|Mundo Motriz|4.0|car_repair|LA BOTA|local_economy|services
POINT (-78.4800332 -0.1181694)|-0.1181694|-78.4800332|Importadora Altamirano|4.1|car_repair|LA BOTA|local_economy|services
POINT (-78.4490514 -0.0976122)|-0.0976122|-78.4490514|Talleres Latorre|2.0|car_repair|LA BOTA|local_economy|services
POINT (-78.478764 -0.123529)|-0.123529|-78.478764|Moduflex. Construccion prefabricada, Alquiler de campers, Contenedores|5.0|general_contractor|LA BOTA|local_economy|services
POINT (-78.46719159999999 -0.1350903)|-0.1350903|-78.46719159999999|COYEPCA MOTORS|5.0|car_repair|LA BOTA|local_economy|services
POINT (-78.4633711 -0.1363065)|-0.1363065|-78.4633711|Electrosupplies|4.1|car_repair|LA BOTA|local_economy|services
POINT (-78.4785923 -0.1250539)|-0.1250539|-78.4785923|Cartek Ecuador|5.0|car_repair|LA BOTA|local_economy|services
POINT (-78.47932349999999 -0.1237825)|-0.1237825|-78.47932349999999|Transmotors Ecuador|4.0|car_repair|LA BOTA|local_economy|services
POINT (-78.45781500000001 -0.1132417)|-0.1132417|-78.45781500000001|ProAuto Chevrolet - Carapungo|4.3|car_dealer|LA BOTA||
POINT (-78.475189 -0.131782)|-0.131782|-78.475189|TRACTODIESEL|5.0|car_repair|LA BOTA|local_economy|services
POINT (-78.4778228 -0.1170703)|-0.1170703|-78.4778228|Seimalsa Sucursal Quito|5.0|car_repair|LA BOTA|local_economy|services
POINT (-78.4616769 -0.1143413)|-0.1143413|-78.4616769|GTP SERVÍ MOTORS|5.0|car_repair|LA BOTA|local_economy|services
POINT (-78.4620669 -0.1147039)|-0.1147039|-78.4620669|TALLER DE MOTOS JOFFRE|2.5|car_repair|LA BOTA|local_economy|services
POINT (-78.4620362 -0.1145412)|-0.1145412|-78.4620362|"Taller automotriz ""XpressLubeDP"""|4.7|car_repair|LA BOTA|local_economy|services
POINT (-78.462715 -0.1149691)|-0.1149691|-78.462715|Lubricars||car_wash|LA BOTA|local_economy|services
POINT (-78.4635096 -0.116852)|-0.116852|-78.4635096|Lavadora ya lubricadora Josué||car_wash|LA BOTA|local_economy|services
POINT (-78.4598654 -0.1096965)|-0.1096965|-78.4598654|Stop Car|5.0|car_wash|LA BOTA|local_economy|services
POINT (-78.46005559999999 -0.1096664)|-0.1096664|-78.46005559999999|OLIMPO LUBRICADORA|5.0|car_wash|LA BOTA|local_economy|services
POINT (-78.4711914 -0.1201303)|-0.1201303|-78.4711914|Fast&Clean Quito|4.5|car_wash|LA BOTA|local_economy|services
POINT (-78.4636105 -0.1278776)|-0.1278776|-78.4636105|Jesus villa||car_wash|LA BOTA|local_economy|services
POINT (-78.46747719999999 -0.1260865)|-0.1260865|-78.46747719999999|Mobile wash|5.0|car_wash|LA BOTA|local_economy|services
POINT (-78.4727917 -0.1176567)|-0.1176567|-78.4727917|Lavadora Lubrilav||car_wash|LA BOTA|local_economy|services
POINT (-78.4616783 -0.1289701)|-0.1289701|-78.4616783|LUBRICADORA SANTILLAN||car_wash|LA BOTA|local_economy|services
POINT (-78.46135699999999 -0.129169)|-0.129169|-78.46135699999999|Autolavado el chavito|5.0|car_wash|LA BOTA|local_economy|services
POINT (-78.4624977 -0.1290436)|-0.1290436|-78.4624977|Pedro Guerrero Y 15|4.3|car_wash|LA BOTA|local_economy|services
POINT (-78.4707491 -0.1242277)|-0.1242277|-78.4707491|Lubri Happy Cars|4.7|car_wash|LA BOTA|local_economy|services
POINT (-78.470777 -0.1242271)|-0.1242271|-78.470777|LAVADORA Y LUBRICADORA CESAR SAA||car_wash|LA BOTA|local_economy|services
POINT (-78.4508559 -0.1274401)|-0.1274401|-78.4508559|"LUBRICADORA ""DON FELIX"""|5.0|car_wash|LA BOTA|local_economy|services
POINT (-78.46968799999999 -0.1267587)|-0.1267587|-78.46968799999999|Lubricantes LR|5.0|car_wash|LA BOTA|local_economy|services
POINT (-78.4505102 -0.1277802)|-0.1277802|-78.4505102|C&C Autoservicio Express||car_wash|LA BOTA|local_economy|services
POINT (-78.45169589999999 -0.1024573)|-0.1024573|-78.45169589999999|Internacional Garage Classic|4.0|car_wash|LA BOTA|local_economy|services
POINT (-78.4503163 -0.1279507)|-0.1279507|-78.4503163|HCL MULTISERVICIOS|4.1|car_wash|LA BOTA|local_economy|services
POINT (-78.4812327 -0.1152542)|-0.1152542|-78.4812327|Cementerio Parque de los Recuerdos|4.2|cemetery|LA BOTA|built_environment|public_space
POINT (-78.442128 -0.1279707)|-0.1279707|-78.442128|Cementerio Llano Chico|4.0|cemetery|LA BOTA|built_environment|public_space
POINT (-78.4812591 -0.1152225)|-0.1152225|-78.4812591|Memorial Park Cemetery|3.5|cemetery|LA BOTA|built_environment|public_space
POINT (-78.46877219999999 -0.1230521)|-0.1230521|-78.46877219999999|"Ministerio Cristiano ""El Gozo Espiritual"""|4.7|church|LA BOTA|built_environment|public_space
POINT (-78.4643004 -0.1284197)|-0.1284197|-78.4643004|Salon Del Reino Testigos De Jehová|4.4|church|LA BOTA|built_environment|public_space
POINT (-78.471852 -0.125985)|-0.125985|-78.471852|Iglesia De Dios Ministerial De Jesucristo Internacional Norte|4.7|church|LA BOTA|built_environment|public_space
POINT (-78.45991350000001 -0.1350904)|-0.1350904|-78.45991350000001|Iglesia Cristiana Jesucristo La Unica Respuesta|4.4|church|LA BOTA|built_environment|public_space
POINT (-78.4455576 -0.1300245)|-0.1300245|-78.4455576|Salon Del Reino Testigos De Jehova|4.8|church|LA BOTA|built_environment|public_space
POINT (-78.448005 -0.0970737)|-0.0970737|-78.448005|Salón Del Reino De Los Testigos De Jehova Carapungo|4.7|church|LA BOTA|built_environment|public_space
POINT (-78.4610952 -0.1158365)|-0.1158365|-78.4610952|San Francisco De Asis Church|4.6|church|LA BOTA|built_environment|public_space
POINT (-78.456345 -0.116868)|-0.116868|-78.456345|IPUIE COMITE DEL PUEBLO #1 QUITO||church|LA BOTA|built_environment|public_space
POINT (-78.4555649 -0.1173754)|-0.1173754|-78.4555649|Familia Generación de Fuego 24/7 Ecuador|5.0|church|LA BOTA|built_environment|public_space
POINT (-78.4548497 -0.1181623)|-0.1181623|-78.4548497|La Iglesia de Jesucristo de los Santos de los Últimos Días, Capilla La Bota|3.9|church|LA BOTA|built_environment|public_space
POINT (-78.465603 -0.1172527)|-0.1172527|-78.465603|IPUIE Iglesia Pentecostal Comité del Pueblo #1|3.9|church|LA BOTA|built_environment|public_space
POINT (-78.4590817 -0.1223059)|-0.1223059|-78.4590817|Iglecia CARMEN BAJO|3.8|church|LA BOTA|built_environment|public_space
POINT (-78.46497169999999 -0.1202561)|-0.1202561|-78.46497169999999|"Iglesia Adventista del Séptimo Día ""Comité del Pueblo"""|4.4|church|LA BOTA|built_environment|public_space
